,Gold Signal,Silver Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG
count,145.0,145.0,145.0,150.0,150.0,150.0,150.0,150.0,150.0
mean,0.5342068965517242,0.3086896551724138,0.031103448275862068,0.49626666666666663,0.0948,0.15073333333333333,0.08213333333333334,0.0318,0.024466666666666668
std,0.18178768509474805,0.16826423983167152,0.042803122312437526,0.21929278233628088,0.05959280169133533,0.09055456782468231,0.062257170328169374,0.04697664706135928,0.04675420042381961
min,0.09,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
25%,0.42,0.19,0.0,0.35,0.06,0.1,0.04,0.01,0.0
50%,0.53,0.28,0.02,0.47,0.08,0.14,0.08,0.02,0.01
75%,0.66,0.39,0.04,0.625,0.11,0.19,0.11,0.04,0.03
max,1.0,1.0,0.25,1.0,0.41,0.58,0.4,0.42,0.39
