,Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG
count,622.0,622.0,672.0,683.0,683.0,683.0,683.0,683.0
mean,0.43577170418006433,0.17416398713826364,0.6136309523809524,0.1656368960468521,0.45452415812591507,0.3619326500732064,0.06489019033674963,0.029619326500732065
std,0.20022362530938934,0.10118075273257075,0.23884577292304104,0.10034689063808892,0.19593718078597586,0.19679264323379406,0.07388731576859892,0.05676133375902048
min,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.28,0.1,0.44,0.09,0.33,0.21,0.01,0.0
50%,0.43,0.15,0.625,0.14,0.47,0.34,0.05,0.01
75%,0.5874999999999999,0.23,0.81,0.21,0.59,0.51,0.09,0.04
max,1.0,0.72,1.0,0.72,0.95,0.91,0.6,0.64
