,Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG
count,93.0,93.0,95.0,97.0,97.0,97.0,97.0,97.0
mean,0.31225806451612903,0.06688172043010752,0.5358947368421052,0.13525773195876292,0.19453608247422685,0.04185567010309279,0.031443298969072164,0.0368041237113402
std,0.11618135216920726,0.06743722515153172,0.27891314417445634,0.04933078787433265,0.0690111799299683,0.0993030913511258,0.048626760694807786,0.047226104887211164
min,0.1,0.0,0.0,0.03,0.05,0.0,0.0,0.0
25%,0.24,0.01,0.33,0.11,0.16,0.0,0.0,0.0
50%,0.3,0.06,0.5,0.13,0.19,0.0,0.0,0.03
75%,0.38,0.11,0.74,0.16,0.23,0.06,0.05,0.06
max,0.72,0.37,1.0,0.37,0.45,0.71,0.3,0.26
