,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG
count,154.0,155.0,155.0,155.0,155.0,155.0
mean,0.6211038961038962,0.11587096774193549,0.30606451612903224,0.16380645161290322,0.04129032258064516,0.04283870967741936
std,0.24130787886644275,0.054221612319847956,0.148404925068769,0.1359873512440262,0.04822444383983604,0.04830577442169932
min,0.0,0.01,0.01,0.0,0.0,0.0
25%,0.4425,0.08,0.21,0.06,0.01,0.01
50%,0.64,0.1,0.3,0.14,0.03,0.03
75%,0.8,0.135,0.38,0.22,0.06,0.06
max,1.0,0.39,0.81,0.62,0.38,0.41
