,Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG
count,192.0,192.0,194.0,195.0,195.0,195.0,195.0,195.0
mean,0.5536979166666667,0.22067708333333336,0.70340206185567,0.22687179487179487,0.5093846153846153,0.29723076923076924,0.08138461538461539,0.04974358974358974
std,0.2067812978161397,0.10038699930342003,0.24411365142977887,0.10233338973169179,0.224934425196283,0.20241970045143465,0.07678884402188438,0.05226257947950369
min,0.05,0.02,0.0,0.04,0.0,0.0,0.0,0.0
25%,0.3975,0.1475,0.6025,0.155,0.39,0.135,0.02,0.01
50%,0.59,0.21,0.75,0.21,0.54,0.28,0.06,0.03
75%,0.7124999999999999,0.28,0.8674999999999999,0.29,0.66,0.435,0.11,0.06
max,1.0,0.54,1.0,0.56,0.96,0.96,0.39,0.29
