,Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG
count,139.0,139.0,147.0,148.0,148.0,148.0,148.0,141.0
mean,0.2307913669064748,0.019568345323741007,0.3740816326530612,0.09533783783783784,0.12702702702702703,0.039729729729729726,0.011554054054054054,0.01695035460992908
std,0.08370120034636526,0.03218764061113786,0.19244908631820895,0.04230462158604129,0.06786801376039804,0.046772658242932176,0.021656339909660927,0.07035566037144365
min,0.05,0.0,0.0,0.03,0.0,0.0,0.0,0.0
25%,0.18,0.0,0.25,0.07,0.09,0.0,0.0,0.0
50%,0.22,0.01,0.33,0.09,0.13,0.02,0.0,0.0
75%,0.28,0.025,0.45,0.11,0.1625,0.07,0.03,0.0
max,0.55,0.19,1.0,0.42,0.52,0.2,0.13,0.67
