,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG
count,268.0,270.0,270.0,270.0,270.0,270.0
mean,0.4621268656716418,0.07633333333333335,0.1667037037037037,0.08555555555555557,0.027851851851851853,0.024962962962962965
std,0.23108997296533762,0.036626823006763405,0.08458440487211502,0.07121533048549739,0.03335926294250504,0.03719483663398868
min,0.0,0.01,0.0,0.0,0.0,0.0
25%,0.2775,0.05,0.12,0.04,0.01,0.0
50%,0.42,0.07,0.15,0.07,0.02,0.01
75%,0.64,0.09,0.2,0.12,0.04,0.04
max,1.0,0.22,0.67,0.56,0.2,0.3
