,Gold Signal,Silver Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG
count,71.0,71.0,71.0,70.0,74.0,74.0,74.0,74.0,74.0
mean,0.6232394366197183,0.48676056338028173,0.16295774647887326,0.6451428571428571,0.2072972972972973,0.31283783783783786,0.14202702702702705,0.055675675675675676,0.046621621621621624
std,0.22841550265055705,0.21454120248892136,0.0976640651299455,0.2919337966301724,0.08618707428273252,0.12133413923214775,0.12156490717634667,0.08186325184697872,0.08864701475363726
min,0.03,0.0,0.01,0.0,0.09,0.05,0.0,0.0,0.0
25%,0.45999999999999996,0.33,0.10500000000000001,0.40750000000000003,0.15,0.23,0.052500000000000005,0.0,0.0
50%,0.67,0.5,0.17,0.66,0.19,0.31,0.11,0.04,0.0
75%,0.785,0.66,0.22,0.9025000000000001,0.24,0.38,0.2275,0.07,0.06
max,1.0,1.0,0.65,1.0,0.6,0.85,0.46,0.44,0.62
