,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG
count,284.0,286.0,286.0,286.0,286.0,286.0
mean,0.3462676056338028,0.07363636363636364,0.15066433566433565,0.07433566433566434,0.020279720279720283,0.015209790209790209
std,0.186208626319517,0.0344183846129077,0.0743149716025913,0.07286189233866457,0.028579076039821565,0.028168503786496518
min,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.21,0.05,0.1,0.02,0.0,0.0
50%,0.32,0.07,0.14500000000000002,0.055,0.01,0.01
75%,0.44,0.09,0.19,0.11,0.0275,0.02
max,1.0,0.28,0.43,0.48,0.22,0.21
