,Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG
count,82.0,82.0,80.0,82.0,82.0,82.0,82.0,82.0
mean,0.4080487804878049,0.04975609756097561,0.493375,0.16402439024390242,0.1995121951219512,0.0654878048780488,0.04609756097560976,0.025243902439024395
std,0.1045913744807782,0.07433616685773807,0.25864272680008277,0.05601718775248969,0.08528677026817391,0.12266739572070375,0.07028611891758027,0.04792549798825739
min,0.13,0.0,0.0,0.06,0.0,0.0,0.0,0.0
25%,0.3325,0.0,0.34249999999999997,0.13,0.16,0.0,0.0,0.0
50%,0.405,0.02,0.5,0.16,0.2,0.0,0.0,0.0
75%,0.4875,0.05,0.6475,0.1875,0.23,0.08,0.08,0.04
max,0.61,0.32,1.0,0.36,0.49,0.58,0.31,0.24
