,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG
count,260.0,262.0,262.0,262.0,262.0,262.0
mean,0.6664230769230769,0.2634732824427481,0.46343511450381675,0.34080152671755726,0.10820610687022901,0.038664122137404576
std,0.19685925299199297,0.1120983987734664,0.17762274798383185,0.21069608843897403,0.12328294823919454,0.06831391489574794
min,0.06,0.02,0.0,0.0,0.0,0.0
25%,0.5275000000000001,0.19,0.34,0.17,0.01,0.0
50%,0.69,0.25,0.46,0.33,0.06,0.02
75%,0.8,0.32,0.58,0.48,0.16,0.05
max,1.0,0.78,0.92,0.96,0.69,0.71
