,Gold Signal,Silver Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG
count,164.0,164.0,164.0,163.0,164.0,164.0,164.0,164.0,164.0
mean,0.5411585365853658,0.40018292682926826,0.05914634146341465,0.5060736196319019,0.09329268292682927,0.1496341463414634,0.0725609756097561,0.032195121951219506,0.03024390243902439
std,0.19675090723356725,0.17463536968425197,0.0462508821209114,0.2325846071539678,0.042210540888300604,0.06305018201909515,0.057265091789786324,0.035911424442738406,0.046890437754148764
min,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.4175,0.27,0.02,0.335,0.0675,0.11,0.02,0.0,0.0
50%,0.56,0.39,0.05,0.47,0.09,0.14,0.07,0.02,0.01
75%,0.6924999999999999,0.52,0.08,0.645,0.1125,0.18,0.11,0.05,0.04
max,0.97,0.85,0.23,1.0,0.26,0.35,0.27,0.22,0.26
