,Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG
count,103.0,103.0,106.0,109.0,109.0,109.0,109.0,109.0
mean,0.36,0.09359223300970873,0.6358490566037737,0.10495412844036694,0.3500917431192661,0.23605504587155965,0.0436697247706422,0.04798165137614679
std,0.17211487272099615,0.04787349278704708,0.2474974475078704,0.04740729458659698,0.14811466662093156,0.15035155314957213,0.04228782660089368,0.05248950188712804
min,0.06,0.02,0.0,0.02,0.0,0.0,0.0,0.0
25%,0.23,0.07,0.4625,0.08,0.26,0.11,0.02,0.01
50%,0.33,0.08,0.65,0.1,0.36,0.23,0.03,0.04
75%,0.46499999999999997,0.12,0.7775000000000001,0.13,0.44,0.32,0.05,0.06
max,0.83,0.31,1.0,0.31,0.74,0.71,0.27,0.38
