,Signal,No Signal,In-State School,Out-Of-State School,MD,DO,US IMG,Non US IMG
count,14.0,14.0,18.0,19.0,19.0,19.0,19.0,19.0
mean,0.2864285714285715,0.2092857142857143,0.5816666666666666,0.20736842105263156,0.36421052631578954,0.024736842105263158,0.008421052631578947,0.03157894736842106
std,0.1557417558187094,0.07237342114279308,0.30600365241957106,0.06090448854679103,0.11251250742688734,0.06003410336843104,0.02007296631313337,0.03321029925502309
min,0.1,0.1,0.0,0.08,0.16,0.0,0.0,0.0
25%,0.2225,0.165,0.38,0.18,0.305,0.0,0.0,0.0
50%,0.245,0.2,0.585,0.21,0.36,0.0,0.0,0.03
75%,0.3175,0.27,0.7725,0.245,0.45,0.0,0.0,0.045
max,0.75,0.31,1.0,0.3,0.61,0.2,0.06,0.11
